Item,Quantity,Reference,ASSY,Value,Rating,PCB Footprint,PN,Part Type,Manufacturer,Manufacturer Part Number,Description,Temperature
11,96,"R1,R4,R7,R12,R15,R23,R26,R46,R48,R49,R53,R55,R57,R60,R61,R62,R67,R69,R72,R73,R77,R78,R93,R95,R101,R103,R104,R105,R108,R109,R127,R128,R129,R130,R131,R132,R150,R151,R158,R172,R174,R176,R194,R200,R206,R211,R217,R219,R220,R221,R222,R223,R224,R226,R227,R234,R239,R240,R242,R245,R250,R251,R252,R253,R254,R255,R256,R257,R260,R264,R278,R279,R280,R281,R282,R283,R284,R288,R300,R302,R308,R309,R313,R316,R338,R349,R351,R373,R375,R377,R378,R379,R392,R393,R395,R396",,0R,1%,R0201,301010525,RES,YAGEO,RC0201FR-070RL,SMD RES 0R-±1%-1/20W;0201,-55°C to 125°C
12,95,"R5,R10,R21,R24,R27,R28,R36,R38,R39,R40,R44,R47,R56,R65,R66,R68,R70,R79,R84,R87,R106,R110,R113,R114,R116,R117,R118,R120,R125,R126,R133,R136,R138,R140,R144,R145,R146,R148,R149,R153,R155,R161,R162,R163,R169,R171,R173,R177,R178,R182,R187,R193,R218,R228,R229,R232,R238,R243,R244,R247,R259,R261,R262,R263,R265,R266,R267,R269,R271,R272,R273,R276,R297,R301,R314,R315,R317,R329,R331,R332,R337,R345,R357,R358,R359,R360,R363,R364,R366,R374,R376,R380,R381,R382,R383",,10K,1%,R0201,301010526,RES,YAGEO,RC0201FR-0710KL,SMD RES 10K-±1%-1/20W;0201,-55°C to 125°C
13,2,"R142,R154",,11K,1%,R0402,301010568,RES,YAGEO,RC0402FR-0711KL,SMD RES;11K-1%-1/16W-0402,-55°C to 155°C
14,1,R299,,4.99K,1%,R0402,301010572,RES,YAGEO,RC0402FR-074K99L,SMD RES;4.99K-1/16W-1%-0402,-55°C to 155°C
15,12,"R6,R14,R17,R22,R159,R160,R165,R286,R287,R291,R294,R310",,4.7K,1%,R0402,301010633,RES,YAGEO,RC0402FR-074K7L,SMD RES;4.7K-1%-1/16W-0402,-55°C to 155°C
16,36,"R41,R122,R190,R198,R205,R207,R208,R212,R213,R214,R215,R216,R225,R230,R237,R248,R249,R274,R275,R304,R305,R319,R321,R323,R325,R327,R340,R341,R342,R343,R386,R387,R388,R389,R390,R391",,33R,5%,R0201,301010675,RES,YAGEO,RC0201JR-0733RL,SMD RES;33R-5%-1/20W;0201,-55°C to 125°C
17,18,"R188,R189,R201,R202,R203,R303,R320,R322,R324,R326,R328,R333,R334,R335,R336,R361,R397,R398",,47K,5%,R0201,301010678,RES,YAGEO,RC0201JR-0747KL,SMD RES;47K-5%-1/20W;0201,-55°C to 125°C
18,20,"R20,R50,R51,R52,R54,R63,R64,R75,R76,R102,R111,R134,R147,R181,R199,R209,R210,R235,R236,R330",,2.2K,1%,R0201,301010753,RES,YAGEO,RC0201FR-072K2L,SMD RES 2.2K-1%-1/20W;0201,-55°C to 125°C
19,1,R195,,2.49K,1%,R0402,301010856,RES,YAGEO,RC0402FR-072K49L,SMD RES 2.49K-1%-1/16W;0402,-55°C to 155°C
20,1,R344,,8.06K,1%,R0402,301010861,RES,YAGEO,RC0402FR-078K06L,SMD RES 8.06K-1%-1/16W;0402,-55°C to 155°C
21,1,R312,,52.3K,1%,R0402,301011070,RES,YAGEO,RC0402FR-0752K3L,SMD RES 52.3K-1/16W-1%;0402,-55°C to 155°C
22,3,"R42,R43,R83",,240R,1%,R0201,301011318,RES,YAGEO,RC0201FR-07240RL,SMD RES 240R-1%-1/20W;0201,-55°C to 125°C
23,1,R350,,13K,1%,R0402,301011848,RES,YAGEO,RC0402FR-0713KL,SMD RES 13K-1%-1/16W;0402,-55°C to 155°C
24,1,R59,,44.2K,1%,R0402,301011887,RES,YAGEO,RC0402FR-0744K2L,SMD RES 44.2K-1%-1/16W;0402,-55°C to 155°C
25,1,R71,,9.09K,1%,R0402,301011914,RES,Panasonic,ERJ-2RKF9091X,SMD RES 9.09K-1%-1/10W;0402,-55°C to 155°C
26,1,R348,,82.5K,1%,R0402,301011920,RES,Vishay,CRCW040282K5FKED,RES SMD 82.5K-1%-1/16W;0402,-55°C to 155°C
